Ano,Mês,Dia,preult,Date mais recente
2019,novembro,4,"R$ 104,63",2019-11-04 00:00:00
2019,novembro,5,"R$ 104,67",2019-11-05 00:00:00
2019,novembro,6,"R$ 104,35",2019-11-06 00:00:00
2019,novembro,7,"R$ 105,31",2019-11-07 00:00:00
2019,novembro,11,"R$ 104,24",2019-11-11 00:00:00
2019,novembro,12,"R$ 102,45",2019-11-12 00:00:00
2019,novembro,13,"R$ 102,37",2019-11-13 00:00:00
2019,novembro,14,"R$ 102,55",2019-11-14 00:00:00
2019,novembro,19,"R$ 101,96",2019-11-19 00:00:00
2019,novembro,25,"R$ 104,25",2019-11-25 00:00:00
2019,novembro,26,"R$ 103,44",2019-11-26 00:00:00
2019,novembro,27,"R$ 103,68",2019-11-27 00:00:00
2019,novembro,28,"R$ 104,38",2019-11-28 00:00:00
2019,novembro,29,"R$ 104,35",2019-11-29 00:00:00
2019,dezembro,2,"R$ 104,81",2019-12-02 00:00:00
2019,dezembro,5,"R$ 106,44",2019-12-05 00:00:00
2019,dezembro,6,"R$ 106,93",2019-12-06 00:00:00
2019,dezembro,9,"R$ 106,77",2019-12-09 00:00:00
2019,dezembro,10,"R$ 106,58",2019-12-10 00:00:00
2019,dezembro,11,"R$ 106,75",2019-12-11 00:00:00
2019,dezembro,12,"R$ 107,85",2019-12-12 00:00:00
2019,dezembro,13,"R$ 108,31",2019-12-13 00:00:00
2019,dezembro,16,"R$ 107,72",2019-12-16 00:00:00
2019,dezembro,17,"R$ 108,41",2019-12-17 00:00:00
2019,dezembro,18,"R$ 110,16",2019-12-18 00:00:00
2019,dezembro,19,"R$ 110,82",2019-12-19 00:00:00
2019,dezembro,20,"R$ 110,84",2019-12-20 00:00:00
2019,dezembro,23,"R$ 111,67",2019-12-23 00:00:00
2019,dezembro,26,"R$ 112,81",2019-12-26 00:00:00
2019,dezembro,27,"R$ 112,17",2019-12-27 00:00:00
2019,dezembro,30,"R$ 111,23",2019-12-30 00:00:00
2020,janeiro,2,"R$ 114,24",2020-01-02 00:00:00
2020,janeiro,6,"R$ 112,59",2020-01-06 00:00:00
2020,janeiro,7,"R$ 112,24",2020-01-07 00:00:00
2020,janeiro,8,"R$ 111,95",2020-01-08 00:00:00
2020,janeiro,9,"R$ 111,66",2020-01-09 00:00:00
2020,janeiro,10,"R$ 111,28",2020-01-10 00:00:00
2020,janeiro,13,"R$ 113,08",2020-01-13 00:00:00
2020,janeiro,14,"R$ 113,32",2020-01-14 00:00:00
2020,janeiro,15,"R$ 112,18",2020-01-15 00:00:00
2020,janeiro,16,"R$ 112,35",2020-01-16 00:00:00
2020,janeiro,20,"R$ 114,41",2020-01-20 00:00:00
2020,janeiro,21,"R$ 112,65",2020-01-21 00:00:00
2020,janeiro,23,"R$ 115,21",2020-01-23 00:00:00
2020,janeiro,27,"R$ 110,29",2020-01-27 00:00:00
2020,janeiro,29,"R$ 110,88",2020-01-29 00:00:00
2020,janeiro,30,"R$ 111,19",2020-01-30 00:00:00
2020,fevereiro,3,"R$ 110,42",2020-02-03 00:00:00
2020,fevereiro,4,"R$ 111,21",2020-02-04 00:00:00
2020,fevereiro,5,"R$ 111,77",2020-02-05 00:00:00
2020,fevereiro,6,"R$ 110,95",2020-02-06 00:00:00
2020,fevereiro,7,"R$ 109,35",2020-02-07 00:00:00
2020,fevereiro,10,"R$ 108,79",2020-02-10 00:00:00
2020,fevereiro,12,"R$ 112,45",2020-02-12 00:00:00
2020,fevereiro,14,"R$ 110,08",2020-02-14 00:00:00
2020,fevereiro,18,"R$ 111,14",2020-02-18 00:00:00
2020,fevereiro,19,"R$ 112,08",2020-02-19 00:00:00
2020,fevereiro,21,"R$ 109,45",2020-02-21 00:00:00
2020,março,2,"R$ 102,99",2020-03-02 00:00:00
2020,março,3,"R$ 101,75",2020-03-03 00:00:00
2020,março,5,"R$ 98,79",2020-03-05 00:00:00
2020,março,10,"R$ 88,63",2020-03-10 00:00:00
2020,março,11,"R$ 82,06",2020-03-11 00:00:00
2020,março,13,"R$ 79,49",2020-03-13 00:00:00
2020,março,18,"R$ 65,01",2020-03-18 00:00:00
2020,março,20,"R$ 64,77",2020-03-20 00:00:00
2020,março,23,"R$ 61,14",2020-03-23 00:00:00
2020,março,25,"R$ 71,73",2020-03-25 00:00:00
2020,março,26,"R$ 74,57",2020-03-26 00:00:00
2020,março,27,"R$ 70,22",2020-03-27 00:00:00
2020,março,30,"R$ 71,97",2020-03-30 00:00:00
2020,março,31,"R$ 69,35",2020-03-31 00:00:00
2020,abril,1,"R$ 68,18",2020-04-01 00:00:00
2020,abril,2,"R$ 69,63",2020-04-02 00:00:00
2020,abril,6,"R$ 71,57",2020-04-06 00:00:00
2020,abril,7,"R$ 73,51",2020-04-07 00:00:00
2020,abril,8,"R$ 75,73",2020-04-08 00:00:00
2020,abril,9,"R$ 74,87",2020-04-09 00:00:00
2020,abril,13,"R$ 75,96",2020-04-13 00:00:00
2020,abril,14,"R$ 76,85",2020-04-14 00:00:00
2020,abril,15,"R$ 76,05",2020-04-15 00:00:00
2020,abril,16,"R$ 74,93",2020-04-16 00:00:00
2020,abril,20,"R$ 75,66",2020-04-20 00:00:00
2020,abril,23,"R$ 76,65",2020-04-23 00:00:00
2020,abril,24,"R$ 72,41",2020-04-24 00:00:00
2020,abril,27,"R$ 75,29",2020-04-27 00:00:00
2020,abril,29,"R$ 80,18",2020-04-29 00:00:00
2020,abril,30,"R$ 77,21",2020-04-30 00:00:00
